id,likes,caption,imageURL,image_labels
CWJOENGNxbJ,22066,Una splendida giornata #zarawoman,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/255837621_3086831988266413_7504073936678541025_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=bceH-Jk6CzwAX_UyWve&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=8122a0832069258179376c3846164b1c&oe=61981AF8&_nc_sid=83d603,"['Sky', 'Hat', 'People in nature', 'Happy', 'Sun hat', 'Gesture', 'Travel', 'Headgear', 'Fun', 'Military camouflage']"
CWI6Mbjrxfi,27305,Una splendida giornata #zarawoman,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/255340854_933421077299505_3596283862311015148_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=CdBi5JjUrZ8AX-zpRhk&edm=AABBvjUBAAAA&ccb=7-4&oh=6e34b81117a82fa50f0d039c483654ab&oe=6193B45F&_nc_sid=83d603,"['Smile', 'Leg', 'Plant', 'Hat', 'Tree', 'People in nature', 'Happy', 'Thigh', 'Sneakers', 'Recreation']"
CWIkys4tab0,32700,Una splendida giornata #zarawoman,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/248363629_2973424879562478_2786142118002212882_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=YD44BG81r7oAX9Jsuex&edm=AABBvjUBAAAA&ccb=7-4&oh=4ae7197cae222b62a312ea5eeecc07eb&oe=619904B8&_nc_sid=83d603,"['Smile', 'Sky', 'Happy', 'Flash photography', 'Travel', 'People in nature', 'Fun', 'Leisure', 'Event', 'Family taking photos together']"
CWEFjRns7OQ,16500,Zara SRPLS Fall ‘21. Drop 02 now available #zarasrpls,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/254162141_401615088174939_6933097236697362600_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=CByeu2YBK7sAX-guKIY&edm=AABBvjUBAAAA&ccb=7-4&oh=22dca51f09844bf1f4083e7cff0e09a3&oe=6194042E&_nc_sid=83d603,"['Clothing', 'Footwear', 'Joint', 'Outerwear', 'Leg', 'Human', 'Black', 'Sleeve', 'Standing', 'Gesture']"
CWDpGDmJ5mV,21484,Zara SRPLS Fall ‘21. Drop 02 now available #zarasrpls,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/254349445_1550048178667992_2610304683106520302_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=vxXLLzvdKAwAX95vwcS&edm=AABBvjUBAAAA&ccb=7-4&oh=10c5ecba201687e4a7624be338d9b85a&oe=619403BD&_nc_sid=83d603,"['Forehead', 'Nose', 'Cheek', 'Chin', 'Eyebrow', 'Eyelash', 'Jaw', 'Neck', 'Sleeve', 'Ear']"
CWDJjspLI7_,15461,Zara SRPLS Fall ‘21. Drop 02 now available #zarasrpls,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/254882059_951628585737982_1663058016699598384_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=RMWJW2-SWsIAX94sQIt&edm=AABBvjUBAAAA&ccb=7-4&oh=61be3c8ae48654dfa6de9500cfc8438a&oe=61938C78&_nc_sid=83d603,"['Hair', 'Forehead', 'Ear', 'Gesture', 'Black hair', 'Cornrows', 'Happy', 'Child', 'Personal protective equipment', 'Caesar cut']"
CVyCNANvJ7P,17473,Zara SRPLS Fall ‘21. Now available #zarasrpls,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/251228479_2225912410882955_7896228737537824839_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=XomuDMcc2jUAX_2g9iu&edm=AABBvjUBAAAA&ccb=7-4&oh=feeb45063146dd2891ec533cf2e211a3&oe=6194280D&_nc_sid=83d603,"['Clothing', 'Hair', 'Face', 'Skin', 'Head', 'Lip', 'Chin', 'Outerwear', 'Hairstyle', 'Smile']"
CVxpcM4MvHF,26938,Zara SRPLS Fall ‘21. Now available #zarasrpls,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/251109983_585000969279210_1637739585105252523_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=-xtUv75IcSQAX9op-Bx&edm=AABBvjUBAAAA&ccb=7-4&oh=55e48627971dc91d7a8abf2d706cf619&oe=6193EF35&_nc_sid=83d603,"['Leg', 'Sleeve', 'Eyewear', 'Standing', 'Gesture', 'Street fashion', 'Waist', 'Collar', 'Knee', 'Blazer']"
CVxIOvsrJqc,21987,Zara SRPLS Fall ‘21. Now available #zarasrpls,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/251277179_583451852907377_6700250610298039554_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=7H-6MJleBUIAX_NiXhp&edm=AABBvjUBAAAA&ccb=7-4&oh=3dfb03ee6904191fb984d34e96428e06&oe=6193EDB6&_nc_sid=83d603,"['Head', 'Outerwear', 'Shoe', 'Shoulder', 'Leg', 'Luggage and bags', 'Knee', 'Bag', 'Human body', 'Neck']"
CVqP16Xv5WS,16904,ZARA SRPLS. Collection 07. DRP01 COMING SOON #zarasrpls @zarakids,https://scontent-dfw5-1.cdninstagram.com/v/t51.2885-15/e35/249787614_105057208591896_3673334295546205656_n.jpg?_nc_ht=scontent-dfw5-1.cdninstagram.com&_nc_cat=1&_nc_ohc=GvvcZj4DM-YAX9qNWkA&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=aa7c9282dfcf3474fa3e7799e957cdb2&oe=6193C016&_nc_sid=83d603,"['Outerwear', 'Fur clothing', 'Neck', 'Sleeve', 'Parka', 'Street fashion', 'Wig', 'Fashion design', 'Toy', 'Liver']"
