,Unnamed: 0,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,0,Sleepin_Dragon,Surprisingly good.,8/10,21 November 2021,"I'll be honest, after the last Ghostbusters movie, I wasn't keen on it, reluctantly I went along, and have to admit, I thoroughly enjoyed it. It feels like a worthy successor to the original film, it doesn't just ignore the past, it supports it. I would advise seeing the original movie ahead of this, as there is a lot of nostalgia surrounding it. I feel like they wanted it to respect the original, that it does.Some really nice special effects, a few perhaps not so good, but that's just me being picky. A good atmosphere, and a really good pace, there's nothing slow about the film, it doesn't lull, nor did it feel overlong. It's a bit goofy, it doesn't take itself too seriously.Great to see Dan Ackroyd, Bill Murray, and many other faces, if you're a fan of the original, you really will appreciate seeing them all here. Paul Rudd was awesome I thought, he stood out for me.
                
                    94 out of 121 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
1,1,kosmasp,Ghostbusters the next Generation,9/10,23 November 2021,"I have to admit I had certain expectations and thought about seeing certain people/characters in this. Let's say if I was just rating the movie based on that, I probably would have rated it lower. I also missed out on the opportunity to rewatch the first two movies. But I don't think it would have mattered that much. Even a female character that had a small cameo in here, I sort of remembered her (small) part in the original movies.That being said this adds a few cool people - namely Paul Rudd and the kids. Especially the daughter and the kid who befriends her (Podcast) are a great team together. Really funny and with great respect to the movies that came before it. Maybe minus the one with the all female cast. Now I personally liked that too - if you didn't enjoy that fair enough, can't compare those two anyway.So much weirdness and comedy that works here, because of the script and because of the actors. And yes many flashbacks still - that even if you don't have the movies fresh in your memory work wonders. Also stay through the credits - one mid credits scene and one after credit scene.",Ghostbusters: Afterlife
2,2,CinemaSerf,Good cast but too little story.,6/10,23 November 2021,"""Callie"" (Carrie Coon) is a bit short of cash, so must retreat to her late father's dilapidated pile with her son ""Trevor"" (Finn Wolfhard) and geeky daughter ""Phoebe"" (Mckenna Grace). When the young girl discovers that she has a chess partner that she cannot see, then a ""ghost trap"" under their frequently shaking old house, she and her brother - alongside her seismologist teacher ""Gary Grooberson"" (Paul Rudd) are soon doing what it says on the tin. It takes for ever to get going, this film - far too much time is spent on character development and by the time it actually gets up to speed I was just a little bit bored. It is redeemed by the last ten minutes, to a certain extent, but I could have been doing with a bit more of Rudd's character - and quite a few more ghosts to bust. It looks ok, the effects are fine - there is just a paucity of them - and the two youngsters work well together with a decent (if wordy) script that has some amusing scientist jokes.
                
                    15 out of 39 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
3,3,Calicodreamin,Worthy successor,7/10,20 November 2021,"This reboot of sorts did it all right in terms of being respectful to the original, maintaining a plausible storyline, and having awesome cameos. The story was a bit slow to develop but had some cool moments and a lot of small laughs. All of this proudly sponsored by Walmart.
                
                    59 out of 83 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
4,4,george.schmidt,Reitman's valentine to the original comedy horror classic will make you feelin' good.,8/10,22 November 2021,"GHOSTBUSTERS: AFTERLIFE (2021) *** Carrie Coon, Paul Rudd, Finn Wolfhard, Mckenna Grace, Logan Kim, Celeste O' Connor, Bill Murray, Dany Aykroyd, Ernie Hudson, Annie Potts, Sigourney Weaver, JK Simmons, Olivia Wilde. (voices of : Josh Gad & Shohreh Aghdashloo). Filmmaker Jason Reitman, son of executive producer and director of the original comedy horror classic, returns the franchise true to form in this valentine to the team of paranormal exterminators with the Spengler family retiring to their estranged paterfamilias Egon (the late, great Harold Ramis) where his granddaughter (Grace, in a winning and often uncanny turn as the famed comedian) discovers her grandfather's plans to stop the return of Gozer the Gozarian to return for another shot at destroying the world, while in the process of uniting her family in their new Mid-west environs. Reitman, who co-wrote with Gil Kenan the chock block of Easter eggs screenplay that wisely incorporates its source material with its new cast (the weight of the legacy rests well on the slender yet able shoulders of Grace, the heart of the film). Fun mix of visuals and much welcomed extended cameos make for a heckuva night at the cineplex.",Ghostbusters: Afterlife
5,5,neil-476,Great fun,9/10,24 November 2021,"Single mother Callie and kids Trevor, 15, and Phoebe, 12 are evicted just as Callie's estranged Dad dies and leaves them his place, a creepy gothic homestead in an Oklahoma backwater. Trevor gets a job at the local diner, where he can make moon eyes at cute and friendly local waitress Lucky. And scientist prodigy Phoebe connects with teacher and amateur seismologist Gary, keenly researching the inexplicable local earthquakes. She also becomes friendly with Podcast, a kid who makes podcasts about inexplicable scientific phenomena and constantly talks in 3rd party linking sequences. Phoebe discovers a lab in the basement where her grandfather worked. And she discovers that her grandfather was Egon Spengler...I liked the all-female Ghostbusters of several years ago, but that has been put to one side: this movie is effectively Ghostbusters 3 because it follows on in a number of ways from the original movies. The trailer shows us Dan Aykroyd reprising Ray Stantz and Paul Rudd as teacher Gary.But I'm pleased to say that the kids, and in particular Mackenna Grace's Phoebe, carry this film. The story is good, the cast are fine, the script is good fun with some lovely lines, the callbacks are effective, and the film has heart. There has been criticism that the film overdoes its fan service, but I felt this was integrated well into the story (contrast Solo, for instance).",Ghostbusters: Afterlife
6,6,ferguson-6,Dirt Farmer grandkids,7/10,18 November 2021,"Greetings again from the darkness. There is a reason musical acts like The Eagles, Jimmy Buffet, and The Rolling Stones continue to pack arenas. We love our nostalgia and prefer it familiar and easily recognizable. The fans don't show up to hear the new songs, but rather those 'oldies-but-goodies' that bring back pleasant memories. Writer-director Jason Reitman and co-writer Gil Kenan fully understand this psychology as they deliver what amounts to a sequel of the original GHOSTBUSTERS movie released 37 years ago (and directed by Reitman's father Ivan).The hook in this updated version is that Callie (Carrie Coon), the adult daughter of original Ghostbuster Egon Spengler (originally portrayed by the late Harold Ramis), has been evicted from her apartment. She packs up the car and her two kids, and heads to the dilapidated farm house she inherited from the father she never knew. Callie has lived her life bitter and hurt that her father never reached out, choosing instead to isolate himself in Summerville in the ""middle of nowhere"". Her kids are Trevor (Finn Wolfhard), an awkward teenager, and Phoebe (a stellar McKenna Grace), a science whiz who seems to be a near-clone of the grandfather she never met.As they adjust to a new life, Trevor swoons over local girl Lucky (Celeste O'Connor), while Phoebe befriends another outcast self-named Podcast (Logan Kim), and Callie gets closer to Gary Grooberson (Paul Rudd), a Seismologist ""teaching"" summer school with help from some age-inappropriate movies on VHS. As great as Coon and Rudd are (and both are great), the real fun comes from the youngsters exploring grandfather's workshop and the mysterious mountain at the edge of town, which is actually a long ago abandoned mine run by the town's founder.Supporting actors include Bokeem Woodbine, JK Simmons, and Tracy Letts. Many of the elements will seem familiar as the kids begin to uncover the ghostly creatures unlocked thanks to Grandpa Egon's research and tools. As with the original, busting the ghosts is fun, but it's the one-liners and crackling dialogue that make this a joyous ride from beginning to end. A battered Ectomobile (Ecto-1) plays a key role, as do ghost traps, crossing streams, and a new generation of Stay-Puft Marshmallows.Jason Reitman is a two-time Oscar nominee for UP IN THE AIR (2009) and JUNO (2007), but it seems clear his mission here was to provide a fitting tribute to the original film, his father, and the late Harold Ramis. He's assisted along the way with some special effects and even more special appearances, though the missing Rick Moranis is notable (and expected). The original blockbuster spawned sequels, re-boots, toys, an animated series, video games, documentaries, and now ... another sequel (one that mostly disregards everything but the original). There is a Spielberg feel as the scene is small town instead of NYC, and perhaps with this family-friendly focus on the kids, the best comparison might be THE GOONIES. It's nostalgic, yet new and fresh, and we do get a look at Hook and Ladder #8, and the familiar tune of Ray Parker Jr's iconic theme song. Hang on for the mid-credit and post-credit scenes, and just remember to take this for what it is ... a rollicking good time.Opening in theaters on November 19, 2021.",Ghostbusters: Afterlife
7,7,blanbrn,Not the 84 original still a sentimental and new era tribute!,7/10,22 November 2021,"Finally watched ""Ghostbusters: Afterlife"" and I must say it was a decent follow up with some charming and sentimental scenes that brought back memories of old ghosts. As the film centers around and has a connection of the grandson of a past ""Ghostbuster"" and a spooky abandoned farm house left by him. And again ghost are on the prowl and move in on this new era and help and assistance is given from old legends in the end as Murray, Dan, and Ernie make an appearance to fight the evil spirits. And most liked and memorable was the cute and sweet scenes of the little baby marshmallow men who come to life with smores at Wal-Mart in front of Paul Rudd's teacher character I thought that was so sentimental, and had an original legacy feel and a tribute to the classic 84 ""Stay Puft Marshmallow Man""! I loved the mini pufts! Overall this picture is nothing great still it entertained and was interesting with the ghost subject all while the new era characters had past connections to the classic and original ""Ghostbusters"".
                
                    13 out of 20 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
8,8,thesar-2,Altered State,4/10,21 November 2021,"Going in, I had zero expectations and I *knew* it had to be better than 2016's Ghostbusters. It merely had to exist to be better than that last tragedy 5 years ago.But, here's the thing: It's barely better than the 2016 atrocity. At least Paul Feig tried to make that movie a comedy. This was absolutely NO comedy.And that's the biggest thing missing here and what made this a far distant entry in the nearly-40-year-old series: jokes. Sure, our lead, Egon's granddaughter, spews decades-old one-liners (which admittedly, were funny) throughout, but that's the extend of 90% of the humor. Naturally, Paul Rudd fills in the remaining 10% with a running 80s horror gag.But, the 1st comedic masterpiece and 1989's comedic follow-up were COMEDIES. Not horror, sci-fi, supernatural...straight up comedies. This 2021 too-late (official) third entry was a drama chock-full of forced nostalgia and repeated scenes from the original. Not only did this make me sad, but it left me feeling underwhelmed and unsatisfied.Worst Mother of the Year is all-but completely nonchalant about getting evicted and had her estranged father not just died and left her a DIRT house in the middle of Nowhere, OK, her kids would be homeless. But, lucky for them, they all get to move reluctantly into Small Town USA. Unlucky for them, a repeat of the original 1984's events are right under their feet.There's more to it, like the relationship, or lack thereof, between the terrible mother's father, former Ghostbuster Egon and his daughter/friends and a budding romance between the granddaughter and an eccentric kid who calls himself ""Podcast."" And their relationship, the young blossoming romance, was surprisingly the best part of this movie. The two kids were so cute together and had great chemistry.But, that's also part of the problem. This movie felt like a TV/Streaming episode, like from Stranger Things and overall, incomplete and rushed. As if they were either running out of time, low on budget or both and they just released the first draft. I shouldn't have gone away loving most about a Ghostbusters film: a story of two kids' first love. It should have been about the comedy and the feeling of nostalgia that wasn't forced like it's been for the past decade.Oh, well, again, it's waaaay better than Ghostbusters (2016,) but like Kingdom of the Crystal Skull, this fourth entry is making me love Ghostbusters II all the more.***Final Thoughts: Recommended for fans of the original. Brand new viewers need to watch the original 2 first, please. Don't watch this and think this was a genuine Ghostbusters movie. This is a love letter, not a sequel.",Ghostbusters: Afterlife
9,9,FeastMode,pretty good,6/10,19 November 2021,"Generally well-made movie. Much higher quality than the 2016 comedy version, and a lot more serious, with jokes that feel organic. I was entertained and invested. The two kid actors were the best part of this movie. I don't consider myself a Ghostbusters fan, but I had a good time overall (1 viewing, opening night 11/18/2021)
                
                    32 out of 78 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Ghostbusters: Afterlife
