web-scraper-order,web-scraper-start-url,comments,posts,posts-href,comments_scroll,new_comments_scroll,scores,compound,sentiment_type
1638143471-1536,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,xoxomarlaxoxoAbsolutely all of them and woooooody is the best character everrrr!!!!!3w1 likeReply,xoxomarlaxoxoabsolutely woooooody best character everrrr3w1 likereply,"{'neg': 0.0, 'neu': 0.543, 'pos': 0.457, 'compound': 0.6369}",0.6369,POSITIVE
1638143471-1531,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,"joost.bony1. Toy Story 3 
2. Toy Story 2 
3. Toy Story 
4. Toy Story 4
But there all like so close and all incredible movies in there own right3w18 likesReply",joostbony1 toy story 3 2 toy story 2 3 toy story 4 toy story 4 like close incredible movies right3w18 likesreply,"{'neg': 0.0, 'neu': 0.848, 'pos': 0.152, 'compound': 0.3612}",0.3612,POSITIVE
1638143471-1538,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,mrgor.rowToy Story 3 bc it got me sad by the time the credits rolled.3w23 likesReply,mrgorrowtoy story 3 bc got sad time credits rolled3w23 likesreply,"{'neg': 0.246, 'neu': 0.556, 'pos': 0.198, 'compound': -0.1531}",-0.1531,NEGATIVE
1638143471-1532,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,"ciaran.flynn07For me, it’s Toy Story 3. Not only is it my favourite Toy Story movie, but my favourite Pixar movie.3w13 likesReply",ciaranflynn07for toy story 3 favourite toy story movie favourite pixar movie3w13 likesreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143471-1526,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,"imdbVerified“We've done our duty. Andy's grown up.” 💚 Which #ToyStory film is your favorite?

📸: Curious Charts / @raccoon.society3w",imdbverifiedweve done duty andys grown toystory film favorite curious charts raccoonsociety3w,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.6486}",0.6486,POSITIVE
1638143471-1537,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,marysaylisnkaIn their speeches they call3w136 likesReply,marysaylisnkain speeches call3w136 likesreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143471-1527,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,the_minimalist____#13wReply,the_minimalist____13wreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143471-1530,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,"eden_rahavToy story 2 always has been my favorite, from the epic opening of Buzz Lightyear to the end of the movie3w41 likesReply",eden_rahavtoy story 2 always favorite epic opening buzz lightyear end movie3w41 likesreply,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4588}",0.4588,POSITIVE
1638143471-1534,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,aminalenzzPOSI VIBES ONLY!3w216 likesReply,aminalenzzposi vibes only3w216 likesreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143471-1535,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,gen___d3😍3w2 likesReply,gen___d33w2 likesreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143471-1528,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,mariadomenique#3 is my fav3wReply,mariadomenique3 fav3wreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143471-1529,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,___blackviper___Toy Story 3 is absolute class and imo one of the best movies of all time - certainly pixar's best.3w59 likesReply,___blackviper___toy story 3 absolute class imo one best movies time certainly pixars best3w59 likesreply,"{'neg': 0.0, 'neu': 0.625, 'pos': 0.375, 'compound': 0.765}",0.765,POSITIVE
1638143471-1533,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV-wV9LtXwi/,adonismimonDefinitely toy story 33w9 likesReply,adonismimondefinitely toy story 33w9 likesreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1409,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,"imdbVerified'A Journal for Jordan' Trailer

Real love takes sacrifice. Directed by #DenzelWashington and starring @michaelbjordan and @chantee__, this is #AJournalForJordan.3w",imdbverifieda journal jordan trailer real love takes sacrifice directed denzelwashington starring michaelbjordan chantee__ ajournalforjordan3w,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.6369}",0.6369,POSITIVE
1638143449-1416,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,mexicansting*Has slightly worn in shoes* HE’S NOT MY TYPE3w1 likeReply,mexicanstinghas slightly worn shoes hes type3w1 likereply,"{'neg': 0.241, 'neu': 0.759, 'pos': 0.0, 'compound': -0.228}",-0.228,NEGATIVE
1638143449-1421,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,"bjohnsoncgmJust incredible, can’t wait to see these King’s and Queen’s at work.  Congratulations @michaelbjordan and all cast members.3w1 likeReply",bjohnsoncgmjust incredible cant wait see kings queens work congratulations michaelbjordan cast members3w1 likereply,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.5994}",0.5994,POSITIVE
1638143449-1419,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,keemissaofficial🙌🔥3wReply,keemissaofficial3wreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1420,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,cheekyjerica12anyway🐨3w133 likesReply,cheekyjerica12anyway3w133 likesreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1415,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,rosanne.rodrigues.5👏👏👏3wReply,rosannerodrigues53wreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1417,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,mahdiaqawantedwhere are the comments?3wReply,mahdiaqawantedwhere comments3wreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1411,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,nataliab_8Simple Beautiful👏❤️🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈🎈❤️2w1 likeReply,nataliab_8simple beautiful2w1 likereply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1418,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,svenjav55💋 lust3w30 likesReply,svenjav55 lust3w30 likesreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1413,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,david10084🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥3wReply,david100843wreply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
1638143449-1412,https://www.instagram.com/imdb/,,,https://www.instagram.com/p/CV0rAr9LE06/,all_my_richesThanking Michael B Jordan for his service 🔥😏✨3w1 likeReply,all_my_richesthanking michael b jordan service 3w1 likereply,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
