web-scraper-order,web-scraper-start-url,comments,posts,posts-href,comments_scroll
1638143832-1971,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWW92-DJsYU/,leon_kels15DC can u see this? Now this is great MCU for life1w11 likes
1638143791-1741,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWT8jQGt7om/,kerpow42Because it isn't a program made for critics. Couldn't really give a toss what they think 😂1w140 likes
1638143843-2024,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWYuGe5BUlx/,"arun1910Definitely not. Lizard and Electro are aiming at 2 other people and I'm the Brazilian Sony Twitter video, Lizard gets kicked in the face by something invisible.1w240 likes"
1638143786-1715,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWTyPoDhaBw/,"angelamtoroColombia, my country 🇨🇴☺️1w34 likes"
1638143894-2137,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbPLL6r1yC/,ianoroceoI finished watching the whole trailer coz I want to see Owen Wilson to say “Wow”… but it’s a letdown 💔1w31 likes
1638143894-2134,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbPLL6r1yC/,dor_foodientHollywood trailers are short movies now😢1w66 likes
1638143879-2050,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWZPHW0Fbh9/,rottentomatoesVerifiedDisney and Pixar’s #TurningRed premieres March 2022 - check out animated film's new trailer.1w
1638143883-2082,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWZZCrWDOL4/,rulex_19#11w3 likes
1638143832-1967,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWW92-DJsYU/,will26eAnother 40 youtube videos analysing this trailer is about to be uploaded 😂1w82 likes
1638143796-1769,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWUDaq_hy98/,galihajklmnwhat is this?????!!!1w6 likes
1638143786-1717,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWTyPoDhaBw/,real_shaumikpof course1w27 likes
1638143905-2180,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbx0B0hE7h/,"rottentomatoesVerifiedWhere does the endlessly quotable action flick fall on your list? is #PointBreak ""100% pure adrenaline!"" or ""this is stimulating, but we're out of here""?1w"
1638143898-2157,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbgoipLyBv/,duckyfuckieI'm excited for this movie. Where is it going to take us. I'm going to take both of the pills when I see it !1w2 likes
1638143905-2189,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbx0B0hE7h/,thelastjackerThis is super super fun and 100%1w2 likes
1638143892-2117,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbD8h5pfGy/,shay_ramsunderToni was absolutely brilliant in Hereditary1w1 like
1638143800-1789,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWUNuQSAclB/,e_to_the_b_to_the_wat_wat_watHow hard did Paramount+ have to grovel for the rights to this1w7 likes
1638143901-2166,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbl0KAt8PI/,legoninjaman45I'm sure these comments aren't gonna be homophobic at all. Like I don't like the show either but I'm not gonna harass and insult the show or its fans1w22 likes
1638143892-2118,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbD8h5pfGy/,triumphaquinoWhere them POCs at? 👁👁1w
1638143874-2037,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWZB0gZBdow/,jenson_bearfistOne of the greatest returns1w6 likes
1638143896-2140,https://www.instagram.com/rottentomatoes/,,,https://www.instagram.com/p/CWbZKXNr_8n/,randomhistoryguyWho was in Paris ?1w6 likes
