id,likes,caption,imageURL,hashtags,comments,upload_date
CWwqeSlpbKd,10178,"“Art, in itself, is an attempt to bring order out of chaos.” #StephenSondheim, the legendary composer and influential lyricist, has passed away at the age of 91. RIP 💙",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/260707115_1232940407202977_1109885613839585322_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=FTAh2oLOrFAAX_YqjJu&edm=AABBvjUBAAAA&ccb=7-4&oh=592df8f33a2317b93afa7f0e23a7f64f&oe=61AB9DCD&_nc_sid=83d603,['StephenSondheim'],35,2021-11-26 19:10:49
CWvrhQFrgHJ,5567,"From award-winning stars to incoming comets, these are the most anticipated movies and TV shows to stream in December.📺",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/261549306_621008372680646_226619162978667103_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Rw-Ac_y3tGsAX-zLyYa&edm=AABBvjUBAAAA&ccb=7-4&oh=e07ad7a4226a4ce956acc7c8da083ef2&oe=61A60B89&_nc_sid=83d603,[],21,2021-11-26 10:01:31
CWtiNseh9cO,3700,"""It was easy, that's the best way I can describe it."" #AdamDriver and #JaredLeto chat about starring alongside #LadyGaga in #HouseOfGucci.✨",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/260551060_852625385430592_8765944723214769691_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=TA5_up6l2vMAX851-i8&edm=AABBvjUBAAAA&ccb=7-4&oh=9e8679a80c5a559ff29063dee27ec35e&oe=61A6169C&_nc_sid=83d603,"['AdamDriver', 'JaredLeto', 'LadyGaga', 'HouseOfGucci']",17,2021-11-25 14:01:31
CWtT_9BvCjv,19167,There's always room for seconds when it comes to our favorite #Thanksgiving episodes. 🍴 Comment below with your favorites.,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/260214273_932703900955420_6771256023564191650_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=Gf43phaS798AX_nrvmd&edm=AABBvjUBAAAA&ccb=7-4&oh=601c20bc6b8ac4798ce3f22e9cc4bb1f&oe=61AAA928&_nc_sid=83d603,['Thanksgiving'],103,2021-11-25 11:56:43
CWtBuFPlRj4,4176,One of the best Turkey Day moments of all time. 🦃😎❤️ Happy #Thanksgiving!,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/260821974_1066093183932422_6750219924042082162_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=lgzoQXfQ6MAAX-xblzE&edm=AABBvjUBAAAA&ccb=7-4&oh=1b96f7ed9cef8836268a9740e863d506&oe=61A5F246&_nc_sid=83d603,['Thanksgiving'],18,2021-11-25 09:17:34
CWrcb-wP0s_,15088,"Family is who you feast with. If you had to choose one TV show family or group of friends to spend #Thanksgiving with, who would you choose?",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/260336006_427459532117768_2745968256743761321_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=hqwzSmpaYKUAX84FrvF&edm=AABBvjUBAAAA&ccb=7-4&oh=2cdca82009b79f01f44aaae4786d8e49&oe=61A9F713&_nc_sid=83d603,['Thanksgiving'],156,2021-11-24 18:31:58
CWrEQpWhZ93,4204,@HaileeSteinfeld and @JeremyRenner settle the debate.,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/260163309_1211134049395925_5601815268157337831_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=fQsJYfYklsUAX8Is8s6&edm=AABBvjUBAAAA&ccb=7-4&oh=144c633a526142303742d86324482231&oe=61A5F8C3&_nc_sid=83d603,[],15,2021-11-24 15:01:07
CWqzjBsFuUe,5531,"tick... tick...💥 #AndrewGarfield opens up about the mentors in his life, including @ticktickboom director #LinManuelMiranda.",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/260138700_946698362597043_2702710247389077711_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=3f6hg3lG3HEAX9vvCie&edm=AABBvjUBAAAA&ccb=7-4&oh=a1e5c1eb027ab31cbba101692802a82c&oe=61A60410&_nc_sid=83d603,"['AndrewGarfield', 'LinManuelMiranda']",16,2021-11-24 12:36:27
CWoc7uUtJoO,6369,"“When you’re younger, everything feels so permanent. But as you get older, you begin to realize nothing is."" @Zendaya returns in the first teaser trailer for #Euphoria season 2. Coming to @HBOMax January 9th.",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/259596411_296390792354359_5590722778541024029_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=80bYuwbP64MAX9_L2iv&tn=oFZ-Gq2sllr-Yy4I&edm=AABBvjUBAAAA&ccb=7-4&oh=f8ef236e9ca96ce0cb72e11315e8e05f&oe=61A5D969&_nc_sid=83d603,['Euphoria'],31,2021-11-23 14:38:51
CWmhkvMleb9,6357,"""All these years, all these memories, there was you. You pull me through time."" Happy 15th anniversary to #TheFountain. What's your favorite scene?",https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/e35/258921313_299163685412719_1796961250010544920_n.jpg?_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=oHBZQdcRJbIAX-vbpIX&edm=AABBvjUBAAAA&ccb=7-4&oh=b421a0a683576b7a812df2aecd2cf786&oe=61A5D06B&_nc_sid=83d603,['TheFountain'],72,2021-11-22 20:42:11
